course_code,model_name,test_auc,test_f1,n_train,path
0000201291,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0000201291.pkl
0000203290,RandomForest,1.0,0.9523809523809523,14330,artifacts\course_models\model_0000203290.pkl
0000302222,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0000302222.pkl
0030301120,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0030301120.pkl
0010204452,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0010204452.pkl
0040302111,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0040302111.pkl
0030302237,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0030302237.pkl
0030303110,RandomForest,1.0,0.8888888888888888,14330,artifacts\course_models\model_0030303110.pkl
0030302133,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0030302133.pkl
0030302121,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0030302121.pkl
0030301110,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0030301110.pkl
0010203421,RandomForest,1.0,1.0,14330,artifacts\course_models\model_0010203421.pkl
0010204492,RandomForest,0.9999871890132979,0.992,14330,artifacts\course_models\model_0010204492.pkl
0010204491,RandomForest,0.9999844805323799,0.9841269841269841,14330,artifacts\course_models\model_0010204491.pkl
0040201492,HistGradientBoosting,0.9999840732629902,0.972972972972973,14330,artifacts\course_models\model_0040201492.pkl
0010203492,RandomForest,0.9999775858252758,0.9655172413793104,14330,artifacts\course_models\model_0010203492.pkl
0030301111,RandomForest,0.9999719992701745,0.9955156950672646,14330,artifacts\course_models\model_0030301111.pkl
0010203361,HistGradientBoosting,0.9999447765315185,0.9779411764705882,14330,artifacts\course_models\model_0010203361.pkl
0040201200,RandomForest,0.9999418129848918,0.9828009828009828,14330,artifacts\course_models\model_0040201200.pkl
0000203400,HistGradientBoosting,0.9999275175722202,0.9905660377358491,14330,artifacts\course_models\model_0000203400.pkl
0040201491,RandomForest,0.9998850750842783,0.8732394366197183,14330,artifacts\course_models\model_0040201491.pkl
0040201442,RandomForest,0.9998690756742603,0.8,14330,artifacts\course_models\model_0040201442.pkl
0010203340,HistGradientBoosting,0.9998272771931871,0.9613259668508287,14330,artifacts\course_models\model_0010203340.pkl
0000201292,HistGradientBoosting,0.9997971190910936,0.9655172413793104,14330,artifacts\course_models\model_0000201292.pkl
0000204430,HistGradientBoosting,0.9997948979591837,0.9655172413793104,14330,artifacts\course_models\model_0000204430.pkl
0040201320,HistGradientBoosting,0.9997856098883315,0.9651741293532339,14330,artifacts\course_models\model_0040201320.pkl
0010203491,RandomForest,0.9997816593886463,0.9482758620689655,14330,artifacts\course_models\model_0010203491.pkl
0010204450,HistGradientBoosting,0.99975820179511,0.9536423841059603,14330,artifacts\course_models\model_0010204450.pkl
0000203291,RandomForest,0.999742571344513,0.952076677316294,14330,artifacts\course_models\model_0000203291.pkl
0040201440,RandomForest,0.9996786568353926,0.9056603773584906,14330,artifacts\course_models\model_0040201440.pkl
0040201362,HistGradientBoosting,0.9996209070863457,0.9052631578947369,14330,artifacts\course_models\model_0040201362.pkl
0030303121,HistGradientBoosting,0.9995937432611441,0.9541284403669725,14330,artifacts\course_models\model_0030303121.pkl
0040201430,HistGradientBoosting,0.9995852802723688,0.9035532994923858,14330,artifacts\course_models\model_0040201430.pkl
0030301124,HistGradientBoosting,0.9995796732128172,0.9686520376175548,14330,artifacts\course_models\model_0030301124.pkl
0040302211,HistGradientBoosting,0.999527639905496,0.9758713136729222,14330,artifacts\course_models\model_0040302211.pkl
0000203360,HistGradientBoosting,0.9995229715167036,0.9590643274853801,14330,artifacts\course_models\model_0000203360.pkl
0010203300,HistGradientBoosting,0.9994013430906634,0.9140271493212669,14330,artifacts\course_models\model_0010203300.pkl
0040201261,HistGradientBoosting,0.9993749187502707,0.9303482587064676,14330,artifacts\course_models\model_0040201261.pkl
0010204250,HistGradientBoosting,0.9993370022099926,0.9447236180904522,14330,artifacts\course_models\model_0010204250.pkl
0000204311,HistGradientBoosting,0.9993319947285951,0.9069767441860465,14330,artifacts\course_models\model_0000204311.pkl
0000204313,HistGradientBoosting,0.9991635687732343,0.9755213055303718,14330,artifacts\course_models\model_0000204313.pkl
0010204330,HistGradientBoosting,0.9991303198837223,0.8465608465608465,14330,artifacts\course_models\model_0010204330.pkl
