next_sem,course_code,pred_prob_sum,pred_binary_sum,actual_count,course_name,credit_hours,category,is_compulsory,predicted_count,abs_error
2024_Spring,0000201291,7,7,7,Apprenticeship for Computer Science 1,6.0,Market Requirement,0,7,0
2024_Spring,0000201292,152,150,148,Apprenticeship for Computer Science 2,6.0,Market Requirement,0,152,4
2024_Spring,0000201391,227,218,185,Computing Research Project,6.0,Major Compulsory,1,227,42
2024_Spring,0000201392,25,27,25,Apprenticeship for Computer Science 3,6.0,Market Requirement,0,25,0
2024_Spring,0000203280,204,204,204,Security,3.0,Major Compulsory,1,204,0
2024_Spring,0000203290,9,8,9,Apprenticeship for Cybersecurity 1,6.0,Market Requirement,0,9,0
2024_Spring,0000203291,128,135,130,Apprenticeship for Cybersecurity 2,6.0,Market Requirement,0,128,2
2024_Spring,0000203360,54,55,53,Penetration Testing,3.0,Major Compulsory,1,54,1
2024_Spring,0000203391,117,102,83,Apprenticeship for Cybersecurity 3,6.0,Market Requirement,0,117,34
2024_Spring,0000203400,50,49,49,Risk Analysis and Systems Testing,3.0,Major Compulsory,1,50,1
2024_Spring,0000203420,102,58,37,Secure Coding,3.0,Major Compulsory,1,102,65
2024_Spring,0000204280,80,89,88,Principles of Data Science and Computing,3.0,Major Compulsory,1,80,8
2024_Spring,0000204290,96,91,66,Apprenticeship for DS and AI 1,6.0,Market Requirement,0,96,30
2024_Spring,0000204291,67,53,72,Apprenticeship for DS and AI 2,6.0,Market Requirement,0,67,5
2024_Spring,0000204310,148,117,62,Advanced Programming for Data Analysis,3.0,Hidden Prerequisite,0,148,86
2024_Spring,0000204311,77,76,73,Big Data Analytics and Visualization,3.0,Major Compulsory,1,77,4
2024_Spring,0000204313,240,240,240,Business Process Support,3.0,Major Compulsory,1,240,0
2024_Spring,0000204391,90,86,75,Apprenticeship for DS and AI 3,6.0,Market Requirement,0,90,15
2024_Spring,0000204411,41,32,14,Time Series Analysis,3.0,Major Elective,0,41,27
